Date,Description,Category,Amount
2026-08-01,Zomato Dinner,Food,450
2026-08-02,Metro Card Recharge,Transport,500
2026-08-03,Grocery Store,Shopping,2300
2026-08-05,Electricity Bill,Utilities,1450
2026-08-07,House Rent,Rent,15000
2026-08-08,Airtel Fiber Broadband,Mobile / Internet,999
2026-08-10,Movie Tickets,Entertainment,650
2026-08-12,Swiggy Lunch,Food,380
2026-08-14,Pharmacy Medicine,Healthcare,420
2026-08-15,Online Course Subscription,Education,1299
2026-08-18,Uber Ride to Airport,Transport,850
2026-08-20,Luxury Fine Dining,Food,14500
2026-08-21,Amazon Electronics,Shopping,18900
2026-08-22,Cafe Coffee,Food,280
2026-08-23,Gas Utility Bill,Utilities,890
